149.293 143.636 84
150.328 147.5 84
150.328 147.5 86
149.293 143.636 86

149.293 143.636 84
146.465 146.464 84
146.465 146.464 86
149.293 143.636 86

149.293 143.636 84
145.429 142.601 84
145.429 142.601 86
149.293 143.636 86

149.293 143.636 84
148.258 139.772 84
148.258 139.772 86
149.293 143.636 86

149.293 143.636 84
152.121 140.808 84
152.121 140.808 86
149.293 143.636 86

149.293 143.636 84
153.156 144.671 84
153.156 144.671 86
149.293 143.636 86

149.293 143.636 84
150.328 147.5 84
150.328 147.5 86
149.293 143.636 86

